epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5848,2.56413,3.23273,2.10624,0.02833,0.43038,0.06278,0.03059,2.17841,3.11921,1.55115,2e-05,2e-05,2e-05
2,91.6669,2.62371,3.29296,2.03742,0.03,0.4557,0.08684,0.04531,2.18666,3.05048,1.49558,5.8812e-05,5.8812e-05,5.8812e-05
3,106.304,2.48758,3.22356,1.89889,0.03667,0.55696,0.1182,0.05244,2.27098,3.01972,1.48544,9.604e-05,9.604e-05,9.604e-05
4,120.552,2.33343,3.18705,1.7261,0.03833,0.58228,0.11796,0.04323,2.37916,3.03816,1.51576,0.000131684,0.000131684,0.000131684
5,176.586,2.29722,2.95935,1.67607,0.03917,0.59494,0.10052,0.03216,2.52301,3.09245,1.57521,0.000165744,0.000165744,0.000165744
6,220.028,2.27714,2.91862,1.61456,0.04,0.60759,0.12399,0.03915,2.52732,3.13429,1.61799,0.00019822,0.00019822,0.00019822
7,238.374,2.02538,2.79977,1.49299,0.03917,0.59494,0.14335,0.05468,2.52337,3.13462,1.66075,0.000229112,0.000229112,0.000229112
8,252.645,2.1585,2.6731,1.51538,0.0425,0.64557,0.16394,0.05682,2.52163,3.09831,1.65194,0.00025842,0.00025842,0.00025842
9,285.855,2.00361,2.59711,1.45835,0.03833,0.58228,0.15903,0.04925,2.51012,3.07338,1.62751,0.000286144,0.000286144,0.000286144
10,311.226,2.06665,2.56628,1.46111,0.03167,0.48101,0.13625,0.03771,2.52676,3.0863,1.69462,0.000312284,0.000312284,0.000312284
11,325.053,1.99557,2.49304,1.50497,0.03583,0.5443,0.13447,0.04347,2.4764,3.07654,1.66891,0.00033684,0.00033684,0.00033684
12,339.805,1.97056,2.44931,1.36077,0.04667,0.70886,0.17188,0.0712,2.32795,2.99736,1.52267,0.000359812,0.000359812,0.000359812
13,353.825,1.99824,2.40885,1.45593,0.05333,0.81013,0.21969,0.09139,2.19814,2.93485,1.44369,0.0003812,0.0003812,0.0003812
14,402.476,1.91541,2.204,1.3913,0.05083,0.77215,0.23389,0.0983,2.1504,2.88582,1.38923,0.000401004,0.000401004,0.000401004
